Packet,Epoch,Hadamard_Row,DAC0,DAC1,DAC2,DAC3,DAC4,DAC5,DAC6,DAC7,J+,J-,Delta_J,Scaled_Update
66,53956,56,55,49,1040,3,7,1664,1179,0,-23177,8333,25313,-2885
67,53956,56,14,225,16,0,0,1664,1435,0,-23177,8333,25313,-2885
68,55748,168,79,481,272,3,7,1664,1691,0,5502,6542,25201,-31564
69,56260,136,107,1841,2064,4095,4094,1679,1947,16,-2688,6029,25233,-23374
70,56260,136,18,225,1040,0,0,1680,155,0,-2688,6029,25233,-23374
71,54725,232,71,1697,3344,4093,4090,1695,411,16,21882,4494,25329,1196
72,54725,232,122,1905,784,0,0,1680,667,0,21882,4494,25329,1196
73,55493,184,91,1121,1296,1,3,1680,923,0,-31369,5262,25281,13481
74,48835,24,27,1761,3343,10,26,1680,1179,0,9617,11920,-39839,-27505
75,48323,56,3915,1392,1039,4095,4094,1695,1435,16,1427,12432,-39871,-19315
76,47811,24,3962,1696,15,1,2,1680,1691,0,-6767,12943,-39839,-11121
77,44483,232,2,1329,3856,4090,4083,1695,1947,16,-19068,16272,-40047,1180
78,44995,8,54,625,3856,0,2,1696,155,0,-10874,16784,25521,9374
79,38596,152,30,1953,1039,10,25,1696,411,0,25965,10386,-39615,-19323
80,32454,24,3955,176,2064,4086,4072,1711,667,16,-6779,4243,25537,13469
81,34758,136,14,1073,2832,4092,4087,1711,923,16,30076,6548,-40143,-15212
82,34246,104,50,945,1808,4095,4094,1711,1179,16,-27266,7060,-40111,-23406
83,34246,104,71,1073,1040,0,0,1696,1435,0,-27266,7060,-40111,-23406
84,35270,168,107,1249,3344,1,4,1696,1691,0,-10878,6036,-40175,25742
85,34758,200,58,673,16,1,2,1696,1947,0,-2688,6548,-40207,17552
86,34758,200,3,49,16,0,0,1712,155,0,-2688,6548,-40207,17552
87,32966,56,34,1265,784,4093,4089,1727,411,16,25977,4757,25441,-19319
88,32710,40,90,1265,2832,0,1,1712,667,0,30074,4501,25425,-15222
89,32198,72,62,1137,1808,4095,4094,1727,923,16,21884,3989,25457,-23412
90,29638,168,74,49,1808,4,10,1712,1179,0,-2682,6549,-39919,1154
91,36548,248,26,1649,783,11,27,1712,1435,0,-23189,-361,-39488,21661
92,36548,248,55,881,16,0,0,1712,1691,0,-23189,-361,-39488,21661
93,36036,24,27,545,2320,4095,4094,1727,1947,16,-14999,151,26017,13471
94,32451,56,22,1761,2064,4090,4082,1743,155,16,-6821,-3434,-39744,21649
95,28356,56,122,177,3856,6,16,1728,411,0,-6837,-7529,26048,21633
96,27076,232,3,561,16,4094,4091,1743,667,16,13648,-8808,-39568,-23418
97,22723,248,115,49,16,7,17,1728,923,0,9569,-13161,26240,-27497
98,23491,40,91,1057,2320,1,3,1728,1179,0,-2722,-13930,-39344,-15206
99,25283,184,23,1057,1296,4093,4089,1743,1435,16,25943,-15721,26304,21665
100,26051,232,66,689,1808,1,3,1728,1691,0,-27302,-16489,26256,9374
101,26051,232,43,673,272,0,0,1728,1947,0,-27302,-16489,26256,9374
102,27843,88,15,929,1296,4093,4089,1759,155,16,1377,-14696,-39168,-27483
103,28099,72,35,369,3088,0,1,1744,411,0,-2718,-14441,-39184,-31578
104,29379,152,99,2033,1040,4094,4091,1759,667,16,-23203,-13161,-39104,13473
105,30147,104,119,1505,2320,1,3,1744,923,0,-10918,-12393,-39152,25758
106,28098,232,103,737,2320,3,8,1744,1179,0,21858,-10344,26512,-7018
107,28098,232,123,1953,272,0,0,1744,1435,0,21858,-10344,26512,-7018
108,27842,216,110,1585,2832,0,1,1744,1691,0,17761,-10088,26528,-2921
109,28099,200,47,625,2064,0,1,1744,1947,0,13666,-10344,26544,1174
110,29123,8,3947,1264,3087,1,4,1760,155,0,30054,-9320,-38928,17562
111,26819,152,3910,112,3855,3,9,1760,411,0,1373,-11623,-38784,-11119
112,23748,216,3874,1760,1039,4091,4084,1775,667,16,-14999,-14695,26560,-27491
113,24772,152,3918,1632,2063,4094,4092,1775,923,16,1381,-13670,26496,-11111
114,32198,104,3863,1392,14,12,29,1760,1179,0,13640,-21096,26032,-23370
115,39620,152,3683,432,2063,4084,4067,1775,1435,16,1323,-28518,26496,-11053
116,37573,24,3910,1952,3087,4092,4088,1775,1691,16,-31453,-26471,26624,21723
117,36805,72,3898,608,1039,1,3,1760,1947,0,-19168,-25703,26576,9438
118,44230,24,3946,560,1808,4084,4067,1791,155,16,-31427,-18277,27040,-2821
119,42183,152,43,1521,3088,4092,4088,1791,411,16,1333,-20324,27168,29939
120,41927,136,55,753,2064,0,1,1776,667,0,5430,-20580,27152,-31500
121,42183,120,71,993,2320,0,1,1776,923,0,9525,-20324,27136,-27405
122,41415,72,3942,1248,2063,1,3,1776,1179,0,21816,-19556,27184,25840
123,38088,24,3879,1904,15,4091,4083,1791,1435,16,-31419,-16229,-38560,13539
124,36296,168,3906,304,3855,2,7,1776,1691,0,5438,-14437,27088,-23318
125,34248,40,3842,864,3087,4092,4088,1791,1947,16,-27338,-12389,-38576,9458
126,35016,88,3886,352,2063,1,3,1792,155,0,-15047,-11621,-38528,21749
127,35016,88,3854,160,1039,0,0,1792,411,0,-15047,-11621,-38528,21749
128,40902,200,3842,1696,2062,9,23,1792,667,0,21794,-5734,27376,-6946
129,42951,72,3867,1200,15,4093,4088,1807,923,16,-10982,-3686,27248,25814
130,43463,104,3962,1696,15,1,2,1792,1179,0,-19176,-4198,27216,-31528
131,44743,24,3927,1824,1295,4094,4091,1807,1435,16,1299,-5477,27296,13533
132,45766,88,3887,304,3087,1,4,1792,1691,0,17687,-6501,27232,-2855
133,42694,24,3695,496,14,5,12,1792,1947,0,1291,-3428,-38496,13541
134,50632,8,3670,480,2063,4083,4065,1823,155,16,-2774,4509,-37999,9476
135,50632,8,3703,1904,14,0,0,1808,411,0,-2774,4509,-37999,9476
136,50376,248,3707,1760,3342,0,1,1808,667,0,1323,4254,27521,13573
137,44742,88,3711,224,271,4087,4074,1823,923,16,-23231,-1380,27872,-10981
138,43206,248,3886,96,2063,2,6,1808,1179,0,1351,157,-37567,29973
139,43462,232,3926,1248,2063,0,1,1808,1435,0,5446,-99,-37552,25878
140,36040,24,3899,1952,270,12,29,1808,1691,0,17705,7323,28449,13619
141,35528,56,3875,736,1295,4095,4094,1823,1947,16,25895,7835,28417,5429
142,34503,248,3842,416,2063,4094,4092,1839,155,16,9507,6811,-37183,-10959
143,33224,72,3698,1264,782,2,5,1824,411,0,29982,5531,28433,9516
144,33224,72,3655,1056,1294,0,0,1824,667,0,29982,5531,28433,9516
145,33736,40,3655,1312,1294,4095,4094,1839,923,16,-27364,6043,28401,17706
146,33224,8,3678,1696,1038,4095,4094,1839,1179,16,-19170,6555,28433,9512
147,39366,136,3687,48,1039,4086,4072,1839,1435,16,13574,413,28817,-23232
148,36551,216,3639,2016,2318,4091,4085,1839,1691,16,-31493,3228,-36543,21835
149,36807,200,3631,816,3086,4095,4095,1839,1947,16,29948,2972,-36527,25930
150,37831,8,3630,1072,2830,4094,4092,1855,155,16,-19200,3996,29073,-23218
151,37575,24,3623,688,3086,4095,4095,1855,411,16,-15105,3740,29089,-19123
152,33992,56,3710,480,14,6,14,1840,667,0,-23283,157,-36671,-27301
153,33992,56,3598,176,782,0,0,1840,923,0,-23283,157,-36671,-27301
154,33224,8,3679,1184,1294,1,3,1840,1179,0,-10992,925,-36623,25944
155,38343,200,3843,2016,1294,8,20,1840,1435,0,5372,-4193,-36304,9580
156,36807,104,3667,624,3086,2,6,1840,1691,0,-19210,-2658,-36208,-31374
157,38087,24,3651,544,270,2,5,1840,1947,0,25851,-3938,-36128,-10899
158,37831,8,3703,1968,3086,4095,4095,1871,155,16,21754,-4194,-36144,-14996
159,35528,152,3703,880,14,4,9,1856,411,0,-6927,-6498,-36000,21859
160,34760,104,3614,752,3854,4094,4093,1871,667,16,5364,-7265,-36048,-31386
161,33992,152,3707,1648,1038,1,3,1856,923,0,-6921,-8034,-36000,21865
162,36809,72,3675,240,3086,4,11,1856,1179,0,13548,-10850,29360,1396
163,35017,184,3706,1120,1038,3,7,1856,1435,0,-15117,-9059,29248,30061
164,32458,24,3643,1904,1038,4092,4086,1871,1691,16,9449,-6499,29408,5495
165,32970,248,3683,1776,1038,4095,4094,1871,1947,16,1259,-7011,-36096,13685
166,33226,8,3698,1904,2830,4095,4095,1887,155,16,5356,-6755,29456,17782
167,37065,24,3690,32,2062,6,15,1872,411,0,9467,-2916,-36320,21893
168,37577,56,3586,224,1038,4095,4094,1887,667,16,1273,-2404,-36288,13699
169,35016,216,3627,1648,1038,4092,4086,1887,923,16,25859,-4965,-36128,-27251
170,32455,56,3703,816,1038,4,10,1872,1179,0,1293,-2404,-35968,-2685
171,31432,120,3611,816,2062,4094,4092,1887,1435,16,-15087,-1381,-36032,13695
172,32967,216,3591,736,2318,4093,4090,1887,1691,16,9495,-2916,-36128,-10887
173,30663,104,3847,1008,2063,4092,4087,1887,1947,16,-19186,-612,29264,17794
174,33223,8,3951,624,2063,4,10,1888,155,0,21784,1949,-36111,-6772
175,31176,136,3911,240,2063,3,8,1888,411,0,-10992,-99,-35984,25988
176,30408,88,3670,1648,3854,4094,4093,1903,667,16,1299,-866,-36032,-27257
177,37322,168,3703,544,1295,4085,4069,1903,923,16,-19208,6047,-36463,17772
178,35529,56,3847,800,1295,4093,4089,1903,1179,16,9471,7840,-36351,-10907
179,36553,248,3894,1248,2063,4094,4092,1903,1435,16,25851,6816,29249,-27287
180,36041,216,3695,1952,1294,4095,4094,1903,1691,16,17657,7328,29281,-19093
181,43211,24,3691,480,3343,4084,4068,1903,1947,16,-31467,158,-35807,30031
182,39882,72,3966,624,1807,5,13,1904,155,0,-19192,-3171,29520,-23230
183,40650,24,3922,928,2063,1,3,1904,411,0,-31477,-2403,29472,30021
184,41162,56,3891,944,2063,4095,4094,1919,667,16,25865,-1891,29504,21827
185,41418,40,3926,1200,2831,0,1,1904,923,0,29960,-1635,29488,25922
186,42698,120,3882,1120,1039,4094,4091,1919,1179,16,9475,-2915,29408,-19129
187,43978,40,3943,1056,1295,2,5,1904,1435,0,29950,-4195,29488,25932
188,45514,136,3914,1712,3855,4093,4090,1919,1691,16,-11004,-5731,29392,1350
189,52427,216,3,1313,271,11,27,1904,1947,0,9503,-12644,29824,-19157
190,56832,248,3966,48,2831,7,18,1920,155,0,17713,-8035,-35424,1341
191,55808,56,3871,32,3343,1,4,1920,411,0,-31443,-9059,30176,17721
192,55040,8,3918,1520,3855,4094,4093,1935,667,16,-19152,-9827,30128,30012
193,54528,40,3966,1760,15,1,2,1920,923,0,-27342,-10339,30160,21822
194,53504,232,3890,1200,1807,4094,4092,1935,1179,16,-10954,-9315,-35312,5434
195,54732,168,3886,1136,1807,4094,4092,1935,1435,16,5426,-10338,-35248,-23234
196,49153,88,3706,48,1807,4087,4075,1935,1691,16,-15075,-4964,30624,9555
197,49153,88,3711,2032,14,0,0,1920,1947,0,-15075,-4964,30624,9555
198,49153,88,3930,1376,1039,0,0,1936,155,0,-15075,-4964,30624,9555
199,55756,200,3871,1968,1038,10,25,1936,411,0,13622,1435,30225,25964
200,59595,184,3619,2032,1038,4090,4081,1951,667,16,17703,5274,-35071,30045
201,59339,200,3679,1568,3342,4095,4095,1951,923,16,13608,5018,-35055,25950
202,59083,184,3663,1072,3086,0,1,1936,1179,0,17705,5274,-35039,21853
203,59083,184,3671,1376,270,0,0,1936,1435,0,17705,5274,-35039,21853
204,59083,184,3595,112,1038,0,0,1936,1691,0,17705,5274,-35039,21853
205,56266,104,3590,1200,2830,4091,4085,1951,1947,16,-2786,8090,30321,-23192
206,56778,136,3659,928,270,1,2,1952,155,0,5408,8603,30353,-14998
207,57802,72,3682,1952,2062,4094,4092,1967,411,16,-10972,9626,30289,-31378
208,58058,88,3699,1632,3342,0,1,1952,667,0,-15069,9882,30305,30061
209,58570,56,3695,1952,1294,4095,4094,1967,923,16,-6879,10394,30273,-27285
210,58570,56,3871,416,1295,0,0,1952,1179,0,-6879,10394,30273,-27285
211,59082,24,3907,1184,2319,4095,4094,1967,1435,16,1311,9883,30305,30061
212,59082,24,3894,800,1039,0,0,1952,1691,0,1311,9883,30305,30061
213,64715,184,3711,224,271,4087,4074,1967,1947,16,-23243,4249,30657,-10921
214,204,249,3866,800,2063,4094,4092,1983,155,16,-6855,5273,30721,5467
215,6858,89,3847,1392,14,11,26,1968,411,0,17747,11928,-35231,30069
216,6602,73,3874,416,2063,0,1,1968,667,0,21844,11672,-35247,-31370
217,14028,121,3875,1568,270,12,29,1968,923,0,9527,19098,-35711,21849
218,13516,89,3679,1264,14,1,2,1968,1179,0,17721,19610,-35679,13655
219,13004,121,3678,1648,1806,4095,4094,1983,1435,16,9531,20122,-35711,21845
220,6145,217,3870,1824,3086,10,26,1968,1691,0,-31455,26776,-35295,9583
221,5889,233,3686,1712,2830,4095,4095,1983,1947,16,-27360,27032,-35311,5488
222,6401,9,3662,1008,3854,0,2,1984,155,0,-19166,27544,30257,13682
223,10496,9,3587,1648,3086,4089,4080,1999,411,16,-19150,31639,-35535,13698
224,11980,89,3691,1136,1038,2,5,1984,667,0,25901,-32617,-35455,-19075
225,13824,217,3627,1440,270,4093,4088,1999,923,16,-6875,-30569,29953,25973
226,17153,169,3703,496,2062,5,13,1984,1179,0,5400,31639,-35791,13698
227,16897,185,3670,1184,3086,0,1,1984,1435,0,1305,31895,-35807,17793
228,18688,41,3686,880,3854,2,7,1984,1691,0,29984,30103,29617,-10886
229,19200,9,3611,560,2062,4095,4094,1999,1947,16,21794,29591,29649,-2696
230,19969,57,3631,992,270,4095,4093,2015,155,16,-31451,30359,29697,9595
231,18945,121,3650,1376,3086,4094,4092,2015,411,16,-15071,29335,29761,25975
232,22016,57,3595,1376,1294,4091,4084,2015,667,16,1301,32407,-35583,-23189
233,21504,89,3635,944,2062,4095,4094,2015,923,16,-6889,31894,-35551,-31379
234,19456,217,3691,800,2318,3,8,2000,1179,0,25887,-31593,30113,1381
235,19200,233,3602,352,3086,4095,4095,2015,1435,16,21792,-31337,30097,5476
236,20172,25,3594,416,14,4095,4093,2015,1691,16,-31453,-32105,-35487,-19103
237,19916,41,3434,1712,3853,4095,4095,2015,1947,16,-27358,-31849,-35503,-23198
238,20172,57,3451,1760,3341,0,1,2016,155,0,-23261,-31593,-35487,-19101
239,23243,121,3591,1312,1294,4091,4084,2031,411,16,-6865,-28522,29857,-2705
240,20940,233,3650,1968,1806,4092,4087,2031,667,16,30008,-30825,-35823,-31368
241,21196,217,3626,688,3854,4095,4095,2031,923,16,-31433,-30569,-35839,-27273
242,21196,217,3611,416,270,0,0,2016,1179,0,-31433,-30569,-35839,-27273
243,21196,217,3602,288,14,0,0,2016,1435,0,-31433,-30569,-35839,-27273
244,22988,73,3706,1200,3854,2,7,2016,1691,0,-2754,-32361,29585,9584
245,22476,105,3666,1056,14,1,2,2016,1947,0,5436,-31848,29553,1394
246,21707,57,3675,1120,1294,1,3,2032,155,0,-6855,-32617,29505,-10897
247,21195,89,3699,1952,2318,4095,4094,2047,411,16,1335,32408,29537,-2707
248,19404,233,3674,672,14,3,7,2032,667,0,30014,30616,-36111,25972
249,21760,73,3695,688,1038,4,10,2032,923,0,5428,-32359,-36271,13674
250,21760,73,3675,1440,270,0,0,2032,1179,0,5428,-32359,-36271,13674
251,21248,105,3699,2032,1038,4095,4094,2047,1435,16,-2762,-31848,-36303,21864
252,14338,185,3874,1760,1038,11,27,2032,1691,0,17691,-24937,-35871,1411
253,14850,153,3702,1584,782,1,2,2032,1947,0,9501,-25449,-35839,9601
254,17154,41,3671,432,3086,3,9,2048,155,0,-19162,-23145,29841,-19062
255,16898,57,3623,432,3086,0,1,2048,411,0,-15067,-23401,29857,-14967
256,16130,9,3647,1248,270,4095,4093,2063,667,16,-2776,-24169,29809,-2676
257,17155,201,3847,480,2319,4094,4092,2063,923,16,13604,-23144,-35791,13704
258,17411,217,3867,240,3087,0,1,2048,1179,0,9507,-23400,-35807,17801
259,17155,233,3702,1760,2062,0,1,2048,1435,0,5412,-23144,-35823,21896
260,18435,57,3931,928,271,2,5,2048,1691,0,25897,-24424,29633,1411
261,19203,9,3926,1632,15,4095,4093,2063,1947,16,13612,-25192,29681,13696
262,21251,137,3866,1184,15,4093,4088,2079,155,16,-19148,-23144,29809,-19064
263,20227,201,3863,752,2063,4094,4092,2079,411,16,-2768,-24168,29873,-2684
264,13061,9,3882,1760,3086,11,28,2064,667,0,-19124,-31334,-36111,-19040
265,13317,249,3686,1504,2062,0,1,2064,923,0,-15029,-31078,29409,-14945
266,12549,201,3662,880,1806,1,3,2064,1179,0,-2738,-30310,29457,-27236
267,13573,137,3678,1008,3854,1,4,2064,1435,0,13642,-31333,29521,21920
268,10758,217,3666,96,3086,4,11,2064,1691,0,-31425,-28518,-35839,1451
269,9733,25,3598,544,3086,4094,4092,2079,1947,16,-15045,-27494,29633,-14929
270,11270,121,3646,352,2062,2,6,2080,155,0,9537,-25957,29729,9653
271,12805,25,3646,1568,3086,4093,4090,2095,411,16,-15033,-24422,29633,-14917
272,15365,185,3706,880,782,4,10,2080,667,0,9533,-21862,29793,9649
273,16901,89,3663,1824,3342,4093,4090,2095,923,16,-31433,-20326,29697,-31317
274,14340,185,3599,1264,14,4092,4086,2095,1179,16,9537,-17765,-35679,-6751
275,15876,89,3627,1264,3086,4093,4090,2095,1435,16,-31429,-19301,-35583,-31321
276,16132,105,3674,1312,2062,0,1,2080,1691,0,-27332,-19557,-35599,30118
277,13571,9,3658,32,2062,4,10,2080,1947,0,13618,-16996,29777,-10832
278,14852,89,3679,2016,270,4094,4091,2111,155,16,-31433,-15716,29857,9653
279,15108,73,3675,1312,2318,0,1,2096,411,0,30008,-15460,29841,5558
280,15619,105,3595,352,1294,4095,4094,2111,667,16,21814,-14948,29873,-2636
281,15619,105,3418,1392,781,0,0,2096,923,0,21814,-14948,29873,-2636
282,15363,89,3422,1392,1805,0,1,2096,1179,0,25911,-14692,29889,-6733
283,14596,137,3343,480,269,4095,4093,2111,1435,16,13626,-13924,29841,5552
284,17411,57,3359,1648,2061,4091,4085,2111,1691,16,-6843,-16740,-35871,26021
285,17155,73,3630,752,3854,4095,4095,2111,1947,16,-2748,-16484,-35887,21926
286,17155,73,3643,864,1294,0,0,2112,155,0,-2748,-16484,-35887,21926
287,14595,233,3678,416,1038,4,10,2112,411,0,-27334,-19043,-35727,-2660
288,17155,137,3659,96,1294,4,10,2112,667,0,-2768,-16484,29969,21906
289,16643,169,3646,736,14,1,2,2112,923,0,-10958,-16996,30001,13716
290,16387,153,3698,1888,3086,4095,4095,2127,1179,16,-6861,-16740,30017,9619
291,16899,121,3902,1136,1807,4095,4094,2127,1435,16,1329,-17251,30049,1429
292,23809,41,3862,1568,1038,11,27,2112,1691,0,-19124,-24162,29617,21882
293,25089,217,3859,800,271,4094,4091,2127,1947,16,25937,-25442,-35839,-23179
294,26369,41,3867,880,1039,4094,4091,2143,155,16,-19114,-24162,29777,-2694
295,25858,73,3875,752,1039,4095,4094,2143,411,16,-10924,-24674,29809,5496
296,19203,169,3859,1632,3342,10,26,2128,667,0,30062,-31328,29393,-19054
297,18179,233,3842,416,2063,4094,4092,2143,923,16,13682,-32352,29457,30102
298,17667,201,3875,288,271,1,2,2128,1179,0,21876,-31840,29489,21908
299,17667,201,3691,1632,1294,0,0,2128,1435,0,21876,-31840,29489,21908
300,19458,57,3879,1312,1295,4093,4089,2143,1691,16,-14981,31904,-36159,-6771
301,19458,57,3887,688,1039,0,0,2128,1947,0,-14981,31904,-36159,-6771
302,11777,89,3710,1008,3855,4083,4066,2159,155,16,-6819,24222,-36639,1391
303,11521,105,3919,1120,2319,0,1,2144,411,0,-2724,23966,-36623,5486
304,12544,169,3914,736,3087,1,4,2144,667,0,-19112,24990,-36559,-10902
305,11520,233,3682,1072,3854,1,4,2144,923,0,30044,23966,-36495,-27282
306,10496,169,3586,368,2830,4094,4092,2159,1179,16,-19104,24990,-36431,21866
307,6657,153,3686,32,1038,6,15,2144,1435,0,-14993,28829,28865,17755
308,9216,57,3682,416,2062,4,10,2144,1691,0,25977,26270,-36831,-23215
309,12033,137,3630,1888,2062,4091,4085,2159,1947,16,-19068,23453,28881,21830
310,12033,137,3699,1840,14,0,0,2160,155,0,-19068,23453,28881,21830
311,18636,249,3850,1568,2062,10,25,2160,411,0,9629,29852,28481,-27297
312,20428,105,3638,1520,1806,4093,4089,2175,667,16,-19050,31643,-36943,9560
313,20684,89,3702,1760,2062,0,1,2160,923,0,-14955,31899,-36959,13655
314,22732,217,3891,1648,3087,4092,4088,2175,1179,16,17805,29851,-37087,-19105
315,22732,217,3851,96,1295,0,0,2160,1435,0,17805,29851,-37087,-19105
316,24524,73,3891,1520,1039,4093,4089,2175,1691,16,-19052,28059,28337,17752
317,26880,169,3927,288,1295,4,10,2160,1947,0,5534,25499,-37039,5454
318,27648,217,3887,368,2063,1,3,2176,155,0,17825,26267,-36991,17745
319,31692,233,3842,1584,3855,4089,4081,2191,411,16,21936,30106,28305,9568
320,31692,233,3859,224,1295,0,0,2176,667,0,21936,30106,28305,9568
321,30667,41,3946,1184,15,2,4,2176,923,0,5556,29082,-37167,-6812
322,32204,137,3950,1072,2831,2,6,2176,1179,0,-19026,27545,-37263,17770
323,31692,169,3942,1392,3855,0,2,2176,1435,0,-27216,28057,-37295,25960
324,34251,73,3967,944,1039,4,10,2176,1691,0,13754,25498,28081,-15010
325,33739,105,3906,752,783,1,2,2176,1947,0,21944,26010,28049,-23200
326,32971,57,3878,240,1807,1,3,2192,155,0,9653,25242,28001,30045
327,36554,89,3958,416,3087,5,14,2192,411,0,17859,28825,-37759,-27285
328,36810,105,3955,1888,3343,4095,4095,2207,667,16,13762,29081,-37743,-31382
329,35786,169,3899,1312,2319,4094,4092,2207,923,16,-2618,28056,-37679,17774
330,37834,41,3907,1824,271,4093,4088,2207,1179,16,30142,26008,27729,-14986
331,33483,57,3854,1968,783,4089,4079,2207,1435,16,26063,30359,-38079,-10907
332,31436,185,3942,736,2063,3,8,2192,1691,0,-6713,32406,27585,21869
333,30924,217,3874,688,1807,4095,4094,2207,1947,16,1477,-32617,27553,13679
334,33536,137,3930,240,2831,4,11,2208,155,0,-18992,-29801,-37807,5498
