Packet,Epoch,Hadamard_Row,DAC0,DAC1,DAC2,DAC3,DAC4,DAC5,DAC6,DAC7,J+,J-,Delta_J,Scaled_Update
30,42770,3,2138,2173,2876,2977,3039,2358,1067,954,871,834,37,5
31,42770,5,2142,2167,2870,2981,3045,2354,1063,960,631,599,32,4
32,42770,7,2151,2168,2869,2972,3036,2353,1064,969,622,587,35,5
33,42771,1,2145,2172,2873,2966,3040,2347,1058,973,522,555,-33,-6
34,42771,3,2140,2179,2866,2971,3035,2354,1051,978,587,562,25,3
35,42771,5,2127,2172,2859,2958,3042,2367,1064,985,579,582,-3,-1
36,42771,6,2128,2171,2860,2957,3041,2368,1063,986,619,611,8,1
37,42772,0,2128,2169,2860,2959,3041,2370,1063,984,575,514,61,9
38,42772,2,2139,2176,2871,2966,3052,2377,1074,991,526,535,-9,-2
39,42772,4,2139,2180,2871,2962,3052,2381,1074,987,783,626,157,23
40,42772,6,2117,2156,2849,2938,3074,2405,1096,1011,794,794,0,0
41,42773,0,2108,2165,2858,2929,3083,2396,1087,1020,635,538,97,14
42,42773,2,2088,2157,2838,2921,3063,2388,1067,1012,615,638,-23,-4
43,42773,4,2083,2154,2843,2924,3058,2385,1072,1015,614,631,-17,-3
44,42773,5,2080,2151,2840,2921,3061,2388,1075,1018,799,778,21,3
45,42773,7,2076,2153,2838,2925,3065,2386,1077,1014,627,783,-156,-24
46,42774,1,2056,2181,2866,2905,3093,2366,1057,1042,570,598,-28,-5
47,42774,3,2063,2178,2869,2898,3100,2363,1060,1035,818,810,8,1
48,42774,5,2068,2181,2872,2903,3097,2358,1055,1032,811,798,13,1
49,42774,7,2095,2206,2847,2876,3070,2333,1080,1059,619,582,37,5
50,42775,0,2090,2211,2852,2871,3075,2328,1075,1064,558,550,8,1
51,42775,2,2087,2212,2849,2872,3072,2329,1072,1065,586,558,28,4
52,42775,4,2089,2218,2847,2866,3074,2335,1070,1059,627,610,17,2
53,42775,6,2085,2226,2843,2874,3078,2327,1074,1051,630,611,19,2
54,42776,0,2080,2227,2848,2873,3083,2326,1069,1052,634,619,15,2
55,42776,2,2077,2234,2845,2880,3080,2333,1066,1059,518,627,-109,-17
56,42776,3,2094,2251,2828,2863,3097,2350,1049,1042,594,623,-29,-5
57,42776,5,2072,2239,2816,2841,3109,2372,1071,1054,618,574,44,6
58,42776,7,2079,2234,2821,2834,3102,2377,1066,1061,582,587,-5,-1
59,42777,1,2085,2238,2825,2840,3106,2383,1072,1065,610,586,24,3
60,42777,3,2066,2213,2850,2859,3087,2358,1097,1084,778,626,152,23
61,42777,5,2043,2236,2873,2836,3064,2381,1120,1061,635,622,13,1
62,42777,6,2042,2237,2872,2837,3065,2380,1121,1060,778,603,175,26
63,42778,0,2010,2217,2904,2857,3097,2400,1089,1040,783,627,156,23
64,42778,2,2032,2241,2926,2881,3119,2424,1111,1064,775,635,140,21
65,42778,4,2010,2221,2948,2901,3097,2404,1133,1084,802,619,183,27
66,42778,6,1953,2224,2891,2904,3154,2401,1190,1081,787,627,160,24
67,42779,0,1972,2253,2872,2875,3135,2372,1209,1110,795,843,-48,-8
68,42779,2,1968,2273,2868,2895,3131,2392,1205,1130,858,875,-17,-3
69,42779,4,1965,2270,2871,2898,3128,2389,1208,1133,614,574,40,6
70,42779,5,1971,2276,2877,2904,3122,2383,1202,1127,575,547,28,4
71,42779,7,1961,2274,2879,2914,3132,2385,1200,1117,522,586,-64,-10
72,42780,1,1954,2287,2892,2907,3145,2378,1193,1130,606,594,12,1
73,42780,3,1955,2290,2889,2906,3146,2381,1190,1129,575,534,41,6
74,42780,5,1955,2278,2877,2906,3158,2381,1190,1141,598,586,12,1
75,42780,7,1962,2283,2872,2899,3151,2376,1195,1148,527,543,-16,-3
76,42781,1,1968,2283,2872,2905,3151,2382,1201,1148,615,595,20,3
77,42781,2,1971,2280,2875,2902,3154,2379,1204,1145,779,619,160,24
78,42781,4,1997,2302,2849,2880,3180,2401,1178,1123,818,834,-16,-3
79,42781,6,1990,2303,2842,2881,3187,2400,1185,1122,826,810,16,2
80,42782,0,1988,2301,2844,2883,3189,2402,1183,1120,779,587,192,29
81,42782,2,2016,2331,2872,2913,3217,2432,1211,1150,595,770,-175,-27
82,42782,4,2043,2358,2845,2886,3244,2459,1184,1123,606,579,27,4
83,42782,6,2056,2337,2858,2865,3231,2480,1171,1144,631,618,13,1
84,42782,7,2057,2338,2857,2864,3230,2479,1172,1145,603,535,68,10
85,42783,1,2065,2366,2885,2872,3258,2487,1180,1173,531,518,13,1
86,42783,3,2064,2363,2888,2873,3257,2484,1183,1174,514,542,-28,-5
87,42783,5,2067,2356,2881,2876,3264,2481,1180,1181,562,631,-69,-11
88,42783,7,2079,2346,2891,2864,3252,2491,1170,1193,599,775,-176,-27
89,42784,1,2054,2375,2920,2839,4,2466,1145,1222,623,547,76,11
90,42784,3,2042,2385,2910,2851,3269,2476,1135,1234,555,583,-28,-5
91,42784,4,2037,2390,2915,2846,3264,2481,1140,1229,574,579,-5,-1
92,42784,6,2035,2394,2913,2850,3266,2477,1142,1225,811,790,21,3
93,42785,0,2017,2418,2931,2826,7,2453,1124,1249,607,599,8,1
94,42785,2,2005,2428,2919,2836,3272,2463,1112,1259,610,594,16,2
95,42785,4,2006,2431,2918,2833,3273,2466,1111,1256,639,639,0,0
96,42785,6,2000,2437,2912,2839,2,2460,1117,1250,575,542,33,5
97,42786,0,1996,2431,2916,2845,6,2466,1113,1244,579,542,37,5
98,42786,1,2001,2436,2921,2850,11,2471,1118,1249,542,550,-8,-2
99,42786,3,1994,2425,2932,2857,4,2460,1129,1256,594,554,40,6
100,42786,5,1999,2418,2925,2862,11,2455,1124,1263,514,359,155,23
101,42786,7,2018,2391,2952,2843,3269,2482,1097,1282,535,519,16,2
102,42787,1,1990,2367,2928,2815,3245,2454,1069,1258,514,534,-20,-4
103,42787,3,1957,2342,2953,2848,3212,2429,1094,1291,554,531,23,3
104,42787,5,1953,2344,2955,2844,3210,2433,1098,1289,523,534,-11,-2
105,42787,6,1955,2342,2957,2842,3208,2435,1096,1291,547,535,12,1
106,42788,0,1951,2344,2961,2840,3212,2433,1092,1293,562,587,-25,-4
107,42788,2,1947,2340,2957,2836,3208,2429,1088,1289,566,586,-20,-4
108,42788,4,1962,2333,2942,2843,3223,2422,1073,1296,522,515,7,1
109,42788,6,1955,2338,2935,2848,3230,2417,1080,1291,634,779,-145,-23
110,42789,0,1906,2341,2984,2845,2,2414,1031,1294,578,614,-36,-6
111,42789,2,1908,2351,2986,2855,4,2424,1033,1304,791,795,-4,-1
112,42789,3,1907,2350,2987,2856,3,2423,1034,1305,814,791,23,3
113,42789,5,1927,2376,3013,2876,3254,2403,1014,1279,818,770,48,7
114,42789,7,1907,2370,3019,2896,3274,2409,1008,1259,882,838,44,6
115,42790,1,1906,2357,3006,2895,3261,2408,1007,1246,807,631,176,26
116,42790,3,1877,2380,2983,2924,3232,2431,984,1275,614,627,-13,-2
117,42790,5,1877,2384,2987,2924,3228,2431,984,1271,595,583,12,1
118,42790,7,1882,2387,2984,2919,3223,2428,987,1276,538,562,-24,-4
119,42791,0,1886,2383,2980,2923,3219,2432,991,1272,594,607,-13,-2
120,42791,2,1913,2360,3007,2900,3246,2409,1018,1249,603,627,-24,-4
121,42791,4,1915,2350,3005,2910,3248,2399,1016,1259,795,787,8,1
122,42791,6,1915,2352,3005,2912,3248,2397,1016,1257,603,630,-27,-5
123,42792,0,1925,2352,2995,2912,3238,2397,1026,1257,534,582,-48,-8
124,42792,2,1923,2338,2993,2898,3236,2383,1024,1243,635,787,-152,-24
125,42792,3,1947,2362,2969,2874,3260,2407,1000,1219,582,591,-9,-2
126,42792,5,1949,2368,2975,2876,3254,2405,998,1213,622,771,-149,-23
127,42792,7,1932,2397,2946,2893,3271,2376,1027,1196,563,523,40,6
128,42793,1,1927,2404,2953,2888,1,2371,1022,1203,638,518,120,18
129,42793,3,1928,2369,2988,2887,2,2336,1057,1202,599,579,20,3
130,42793,5,1926,2373,2992,2885,3275,2338,1059,1198,550,559,-9,-2
131,42793,7,1926,2369,2996,2885,3275,2342,1055,1198,538,515,23,3
132,42794,1,1954,2391,3018,2913,20,2370,1083,1220,551,546,5,0
133,42794,3,1953,2390,3019,2914,19,2369,1084,1221,618,599,19,2
134,42794,5,1944,2377,3006,2905,32,2378,1093,1234,602,599,3,0
135,42794,7,1945,2378,3005,2904,31,2377,1094,1235,583,550,33,5
136,42795,0,1940,2383,3010,2899,36,2372,1089,1240,523,635,-112,-18
137,42795,2,1955,2404,3025,2920,51,2393,1104,1261,594,606,-12,-2
138,42795,4,1953,2402,3027,2922,49,2391,1106,1263,534,563,-29,-5
139,42795,6,1952,2393,3026,2913,50,2400,1107,1272,518,526,-8,-2
140,42796,0,1959,2390,3019,2916,43,2403,1114,1269,535,571,-36,-6
141,42796,2,1955,2382,3015,2908,39,2395,1110,1261,611,599,12,1
142,42796,4,1954,2381,3016,2909,38,2394,1111,1262,599,574,25,3
143,42796,5,1951,2378,3013,2906,41,2397,1114,1265,602,611,-9,-2
144,42796,7,1949,2380,3011,2908,43,2395,1116,1263,567,587,-20,-4
145,42797,1,1954,2377,3008,2913,40,2400,1121,1260,798,634,164,25
146,42797,3,1974,2347,3038,2893,60,2370,1151,1240,603,575,28,4
147,42797,5,1970,2351,3042,2889,56,2374,1155,1236,607,611,-4,-1
148,42797,7,2002,2381,3012,2857,24,2344,1185,1268,638,635,3,0
149,42798,0,2002,2381,3012,2857,24,2344,1185,1268,595,563,32,4
150,42798,2,2010,2381,3020,2857,32,2344,1193,1268,638,791,-153,-24
151,42798,4,2033,2406,2997,2832,55,2369,1170,1243,818,875,-57,-9
152,42798,6,2038,2419,3002,2845,50,2356,1165,1230,847,810,37,5
153,42799,0,2037,2430,3003,2834,51,2345,1164,1241,546,546,0,0
154,42799,2,2038,2429,3004,2833,52,2344,1165,1240,611,522,89,13
155,42799,4,2039,2454,3003,2808,53,2369,1164,1215,535,543,-8,-2
156,42799,5,2037,2452,3001,2806,55,2371,1166,1217,586,574,12,1
157,42799,7,2039,2456,2997,2804,53,2367,1170,1219,559,543,16,2
158,42800,1,2040,2453,2994,2805,50,2368,1171,1216,530,531,-1,-1
159,42800,3,2041,2452,2995,2804,51,2367,1172,1215,591,631,-40,-7
160,42800,5,2033,2458,3001,2796,45,2375,1180,1209,598,563,35,5
161,42800,7,2036,2451,3008,2793,42,2382,1173,1212,558,618,-60,-10
162,42801,0,2046,2441,2998,2803,32,2392,1183,1202,631,622,9,1
163,42801,2,2037,2448,2989,2810,23,2399,1174,1209,807,783,24,3
164,42801,4,2041,2450,2985,2808,27,2401,1170,1207,611,575,36,5
165,42801,6,2043,2458,2987,2816,25,2393,1168,1199,627,598,29,4
166,42802,0,2040,2453,2990,2821,28,2398,1165,1194,530,634,-104,-16
167,42802,2,2011,2450,2961,2818,3276,2395,1136,1191,535,555,-20,-4
168,42802,3,2015,2454,2957,2814,3,2399,1132,1187,379,531,-152,-24
169,42802,5,1990,2477,2980,2789,3257,2424,1157,1164,526,530,-4,-1
170,42802,7,1987,2476,2981,2792,3260,2425,1156,1161,571,586,-15,-3
171,42803,1,1990,2473,2978,2795,3257,2428,1159,1158,606,574,32,4
172,42803,3,2011,2486,2965,2774,1,2441,1146,1137,610,523,87,13
173,42803,5,1993,2494,2973,2756,3270,2459,1164,1129,554,566,-12,-2
174,42803,7,1995,2492,2975,2754,3268,2461,1162,1131,599,583,16,2
175,42804,0,1997,2490,2973,2756,3266,2463,1164,1129,587,623,-36,-6
176,42804,2,1988,2487,2964,2753,3257,2460,1155,1126,582,555,27,4
177,42804,4,1982,2485,2970,2755,3251,2458,1161,1128,582,546,36,5
178,42804,6,1971,2486,2959,2756,3262,2457,1172,1127,546,570,-24,-4
179,42805,0,1968,2481,2962,2761,3265,2462,1169,1122,575,559,16,2
180,42805,2,1966,2479,2960,2759,3263,2460,1167,1120,627,555,72,10
181,42805,3,1976,2489,2950,2749,3273,2470,1157,1110,562,567,-5,-1
182,42805,5,1970,2481,2942,2743,4,2476,1163,1118,582,586,-4,-1
183,42805,7,1971,2480,2943,2742,3,2477,1162,1119,530,530,0,0
184,42806,1,1974,2483,2946,2745,6,2480,1165,1122,626,618,8,1
185,42806,3,1984,2495,2934,2735,16,2492,1153,1112,598,578,20,3
186,42806,4,1987,2492,2931,2738,19,2489,1150,1115,626,598,28,4
187,42806,6,1985,2486,2929,2732,21,2495,1152,1121,638,598,40,6
188,42807,0,1976,2507,2938,2711,30,2474,1143,1142,539,594,-55,-9
189,42807,2,1987,2514,2949,2718,41,2481,1154,1149,514,635,-121,-19
190,42807,4,1954,2509,2982,2723,8,2476,1187,1154,547,555,-8,-2
191,42807,6,1952,2507,2980,2721,10,2478,1189,1156,606,610,-4,-1
192,42807,7,1953,2508,2979,2720,9,2477,1190,1157,598,619,-21,-4
193,42808,1,1955,2518,2989,2722,19,2479,1192,1167,538,590,-52,-8
194,42808,3,1964,2511,2996,2713,28,2472,1199,1158,794,803,-9,-2
195,42808,5,1962,2513,2998,2711,26,2474,1201,1156,835,850,-15,-3
196,42808,7,1959,2516,2995,2714,29,2471,1204,1153,878,890,-12,-2
197,42809,1,1949,2502,2981,2704,15,2461,1194,1139,771,774,-3,-1
198,42809,2,1948,2503,2980,2705,14,2462,1193,1140,799,779,20,3
199,42809,4,1945,2512,2983,2696,11,2471,1196,1131,818,834,-16,-3
200,42809,6,1940,2511,2978,2695,16,2472,1201,1132,846,799,47,7
201,42810,2,1909,2478,2957,2680,3272,2457,1170,1099,551,526,25,3
202,42810,4,1904,2477,2962,2681,3267,2456,1175,1100,587,590,-3,-1
203,42810,6,1904,2479,2962,2683,3267,2454,1175,1098,595,591,4,0
204,42811,0,1899,2484,2967,2678,3272,2449,1170,1103,558,542,16,2
205,42811,1,1897,2482,2965,2676,3270,2447,1168,1101,547,523,24,3
206,42811,3,1904,2483,2964,2669,0,2448,1167,1094,315,282,33,5
207,42811,5,1901,2490,2971,2666,3270,2451,1170,1087,306,298,8,1
208,42811,7,1900,2491,2970,2667,3271,2450,1171,1086,518,538,-20,-4
209,42812,1,1886,2485,2964,2653,3265,2436,1157,1080,531,571,-40,-7
210,42812,2,1893,2478,2971,2646,3272,2429,1164,1073,598,559,39,5
211,42812,4,1874,2487,2990,2637,3253,2438,1183,1064,631,639,-8,-2
212,42812,6,1886,2479,3002,2629,3241,2446,1171,1072,522,578,-56,-9
213,42813,0,1879,2468,3009,2640,3248,2457,1164,1061,615,575,40,6
214,42813,2,1876,2459,3006,2631,3245,2448,1161,1052,627,627,0,0
215,42813,4,1883,2452,2999,2638,3252,2441,1154,1059,554,634,-80,-13
216,42813,5,1870,2439,2986,2625,3265,2454,1167,1072,630,626,4,0
217,42813,7,1870,2439,2986,2625,3265,2454,1167,1072,567,522,45,6
218,42814,1,1878,2435,2982,2633,3261,2462,1175,1068,370,339,31,4
219,42814,3,1869,2434,2983,2642,3252,2461,1176,1077,339,338,1,0
220,42814,5,1877,2442,2991,2650,3244,2453,1168,1069,570,591,-21,-4
221,42814,7,1887,2460,2973,2640,3234,2435,1186,1079,570,603,-33,-6
222,42815,0,1893,2454,2967,2646,3228,2441,1192,1073,638,618,20,3
223,42815,2,1896,2445,2970,2637,3231,2432,1195,1064,599,574,25,3
224,42815,4,1897,2450,2969,2632,3232,2437,1194,1059,539,575,-36,-6
225,42815,6,1894,2441,2966,2623,3235,2446,1197,1068,615,778,-163,-25
226,42816,0,1921,2464,2939,2600,3208,2423,1224,1091,603,602,1,0
227,42816,1,1921,2464,2939,2600,3208,2423,1224,1091,566,527,39,5
228,42816,3,1902,2455,2948,2619,3189,2414,1233,1110,623,602,21,3
229,42816,5,1907,2454,2947,2624,3190,2409,1228,1111,599,614,-15,-3
230,42816,7,1915,2468,2933,2616,3182,2395,1242,1119,626,635,-9,-2
231,42817,1,1916,2465,2930,2617,3179,2396,1243,1116,622,614,8,1
232,42817,3,1922,2469,2926,2611,3185,2400,1239,1110,522,554,-32,-5
233,42817,4,1927,2464,2921,2616,3190,2395,1234,1115,599,619,-20,-4
234,42817,6,1926,2457,2920,2609,3191,2402,1235,1122,523,527,-4,-1
235,42818,0,1928,2457,2918,2609,3189,2402,1237,1122,514,531,-17,-3
236,42818,2,1934,2445,2924,2597,3195,2390,1243,1110,594,539,55,8
237,42818,4,1914,2449,2944,2593,3175,2394,1263,1106,630,526,104,15
238,42818,6,1915,2418,2945,2562,3174,2425,1262,1137,539,527,12,1
239,42818,7,1916,2419,2944,2561,3173,2424,1263,1138,639,522,117,17
240,42819,1,1899,2436,2961,2544,3190,2407,1246,1155,638,595,43,6
241,42819,3,1899,2424,2973,2544,3190,2395,1258,1155,610,623,-13,-2
242,42819,5,1893,2414,2963,2538,3200,2401,1264,1165,614,607,7,1
243,42819,7,1871,2394,2983,2560,3222,2421,1244,1143,631,582,49,7
244,42820,1,1878,2387,2976,2567,3215,2428,1251,1136,523,627,-104,-16
245,42820,2,1894,2371,2992,2551,3231,2412,1267,1120,631,603,28,4
246,42820,4,1907,2350,2979,2572,3244,2391,1254,1141,558,538,20,3
247,42820,6,1888,2363,2960,2585,3263,2378,1273,1128,590,554,36,5
248,42821,0,1892,2369,2956,2579,3259,2372,1277,1134,595,635,-40,-7
249,42821,2,1873,2402,2937,2612,3240,2405,1258,1167,619,618,1,0
250,42821,4,1881,2394,2929,2620,3248,2397,1250,1175,802,782,20,3
251,42821,5,1884,2397,2932,2623,3245,2394,1247,1172,787,838,-51,-8
252,42821,7,1897,2394,2935,2610,3232,2397,1244,1185,859,850,9,1
253,42822,1,1897,2392,2933,2610,3230,2397,1244,1183,795,615,180,27
254,42822,3,1880,2429,2896,2627,3213,2434,1207,1200,859,882,-23,-4
255,42822,5,1877,2434,2901,2624,3208,2437,1210,1195,811,611,200,30
256,42822,7,1910,2407,2928,2591,3175,2464,1183,1228,603,519,84,12
257,42823,0,1898,2419,2940,2579,3187,2452,1171,1240,627,623,4,0
258,42823,3,1896,2421,2938,2581,3185,2454,1169,1242,590,558,32,4
259,42823,5,1893,2426,2943,2578,3180,2457,1172,1237,547,530,17,2
260,42823,7,1885,2422,2947,2586,3188,2461,1168,1229,351,354,-3,-1
261,42824,1,1889,2428,2953,2590,3194,2465,1172,1235,310,258,52,7
262,42824,3,1886,2439,2942,2593,3191,2476,1161,1238,334,358,-24,-4
263,42824,5,1885,2446,2949,2592,3184,2477,1162,1231,543,602,-59,-10
264,42824,7,1870,2451,2944,2607,3199,2472,1167,1216,523,627,-104,-16
265,42825,0,1886,2435,2928,2623,3183,2488,1183,1200,590,534,56,8
266,42825,2,1875,2430,2917,2618,3172,2483,1172,1195,547,526,21,3
267,42825,4,1882,2429,2910,2619,3179,2482,1165,1196,558,558,0,0
268,42825,6,1881,2430,2909,2620,3180,2481,1166,1195,534,555,-21,-4
269,42826,0,1885,2434,2905,2616,3176,2477,1170,1199,571,534,37,5
270,42826,2,1895,2434,2915,2616,3186,2477,1180,1199,567,558,9,1
271,42826,3,1894,2433,2916,2617,3185,2476,1181,1200,570,367,203,30
272,42826,5,1926,2405,2888,2649,3213,2444,1149,1228,378,371,7,1
273,42826,7,1955,2432,2861,2620,3184,2417,1176,1257,515,319,196,29
274,42827,1,1928,2463,2892,2593,3215,2390,1149,1288,358,370,-12,-2
275,42827,3,1926,2465,2890,2595,3213,2392,1147,1290,347,535,-188,-29
276,42827,5,1956,2437,2862,2625,3241,2362,1117,1318,546,378,168,25
277,42827,7,1935,2466,2833,2646,3262,2333,1146,1297,531,366,165,25
278,42828,0,1960,2441,2808,2671,3237,2358,1171,1272,562,546,16,2
279,42828,2,1964,2441,2812,2671,3241,2358,1175,1272,606,579,27,4
280,42828,4,1961,2436,2815,2676,3238,2353,1178,1277,610,582,28,4
281,42828,6,1962,2427,2816,2667,3237,2362,1177,1286,514,530,-16,-3
282,42829,0,1986,2397,2792,2697,3213,2392,1201,1256,371,346,25,3
283,42829,2,1984,2393,2790,2693,3211,2388,1199,1252,307,347,-40,-7
284,42829,4,2008,2355,2766,2731,3235,2350,1175,1290,347,378,-31,-5
285,42829,5,2003,2350,2761,2726,3240,2355,1180,1295,323,362,-39,-6
286,42829,7,2002,2337,2774,2727,3241,2368,1167,1294,370,350,20,3
287,42830,1,2012,2341,2778,2737,3245,2378,1177,1298,278,307,-29,-5
288,42830,3,2023,2342,2777,2726,3256,2379,1176,1287,278,298,-20,-4
289,42830,5,2016,2343,2778,2719,3255,2386,1183,1286,342,346,-4,-1
290,42830,7,2012,2341,2780,2723,3259,2388,1181,1282,382,367,15,2
291,42831,1,2010,2343,2782,2721,3261,2386,1179,1284,538,558,-20,-4
292,42831,2,2006,2347,2778,2725,3257,2390,1175,1288,543,590,-47,-8
293,42831,4,2000,2337,2784,2735,3251,2380,1181,1298,595,555,40,6
294,42831,6,2009,2340,2793,2738,3242,2377,1172,1295,571,603,-32,-5
295,42832,0,2018,2341,2784,2737,3233,2376,1181,1296,383,515,-132,-21
296,42832,2,1995,2322,2761,2718,3210,2357,1158,1277,514,562,-48,-8
297,42832,4,2030,2303,2726,2737,3245,2338,1123,1296,514,515,-1,-1
298,42832,5,2031,2304,2727,2738,3244,2337,1122,1295,534,522,12,1
299,42832,7,2010,2281,2750,2759,3265,2360,1099,1274,515,378,137,20
300,42833,1,2003,2314,2783,2752,21,2353,1092,1307,559,518,41,6
301,42833,3,2007,2306,2791,2748,25,2345,1100,1303,630,619,11,1
302,42833,5,2006,2307,2792,2747,24,2346,1101,1302,554,551,3,0
303,42833,7,2008,2309,2790,2745,22,2344,1103,1304,550,591,-41,-7
304,42834,0,2001,2316,2797,2738,29,2337,1096,1311,578,566,12,1
305,42834,2,2001,2318,2797,2740,29,2339,1096,1313,535,623,-88,-14
306,42834,4,2012,2335,2786,2723,40,2356,1085,1296,615,603,12,1
307,42834,6,2008,2337,2782,2725,44,2354,1089,1294,583,567,16,2
308,42835,0,2018,2331,2772,2731,34,2360,1099,1288,551,586,-35,-6
309,42835,1,2024,2337,2778,2737,40,2366,1105,1294,562,582,-20,-4
310,42835,3,2018,2339,2776,2743,34,2368,1103,1300,550,583,-33,-6
311,42835,5,2014,2323,2760,2739,50,2372,1107,1316,579,635,-56,-9
312,42835,7,2025,2316,2767,2728,39,2379,1100,1327,535,538,-3,-1
313,42836,1,2023,2316,2767,2726,39,2377,1098,1327,626,551,75,11
314,42836,3,2017,2332,2751,2732,33,2393,1082,1333,551,567,-16,-3
315,42836,4,2014,2335,2754,2729,30,2396,1085,1330,526,551,-25,-4
316,42836,6,2018,2339,2758,2733,26,2392,1081,1326,543,543,0,0
317,42837,0,2020,2337,2756,2735,24,2394,1083,1324,618,614,4,0
318,42837,2,2015,2342,2751,2740,19,2399,1078,1329,615,786,-171,-27
319,42837,4,1986,2317,2780,2765,3267,2374,1107,1354,810,806,4,0
320,42837,6,1982,2321,2776,2769,3271,2370,1111,1350,775,607,168,25
321,42838,0,1959,2294,2799,2796,17,2397,1088,1323,802,623,179,27
322,42838,1,1986,2321,2826,2823,44,2424,1115,1350,635,611,24,3
323,42838,3,1980,2321,2826,2829,38,2424,1115,1356,634,627,7,1
324,42838,5,1968,2307,2812,2817,52,2436,1127,1370,638,626,12,1
325,42838,7,1971,2308,2811,2814,49,2435,1128,1373,610,607,3,0
326,42839,1,1957,2294,2797,2800,35,2421,1114,1359,546,610,-64,-10
327,42839,3,1947,2304,2787,2810,25,2431,1104,1369,539,515,24,3
328,42839,4,1944,2307,2790,2807,22,2434,1107,1366,522,578,-56,-9
329,42839,6,1936,2297,2782,2797,30,2444,1115,1376,579,578,1,0
330,42840,0,1933,2300,2785,2794,33,2441,1112,1379,522,518,4,0
331,42840,2,1954,2279,2806,2773,54,2420,1133,1358,535,354,181,27
332,42840,4,1948,2231,2812,2821,48,2372,1139,1406,358,363,-5,-1
333,42840,6,1951,2230,2815,2820,45,2373,1136,1407,514,378,136,20
334,42840,7,1971,2250,2795,2800,25,2353,1156,1427,535,547,-12,-2
335,42841,1,1969,2244,2789,2798,19,2351,1154,1421,550,546,4,0
336,42841,3,1970,2245,2788,2797,20,2352,1153,1420,526,618,-92,-15
337,42841,5,1986,2231,2774,2813,34,2336,1137,1434,582,543,39,5
338,42841,7,1981,2236,2769,2818,39,2331,1142,1429,603,631,-28,-5
339,42842,0,1976,2241,2774,2813,44,2326,1137,1434,623,614,9,1
340,42842,2,1994,2225,2792,2797,62,2310,1155,1418,595,578,17,2
341,42842,4,1987,2228,2799,2794,55,2313,1162,1415,595,779,-184,-29
342,42842,6,2039,2234,2851,2800,3,2307,1110,1409,595,607,-12,-2
343,42843,0,2039,2230,2851,2804,3,2311,1110,1405,603,610,-7,-2
344,42843,2,2035,2238,2847,2812,3276,2319,1106,1413,770,787,-17,-3
345,42843,3,2032,2235,2850,2815,3273,2316,1109,1416,795,803,-8,-2
346,42843,5,2060,2259,2874,2843,3249,2288,1081,1392,615,607,8,1
347,42843,7,2059,2260,2873,2844,3250,2287,1082,1391,574,622,-48,-8
348,42844,1,2054,2271,2884,2839,3261,2282,1077,1402,598,531,67,10
349,42844,3,2043,2280,2875,2850,3250,2291,1068,1413,514,563,-49,-8
